premise,hypothesis,label,explanation_1,explanation_2,explanation_3,premise_highlighted_1,hypothesis_highlighted_1,premise_highlighted_2,hypothesis_highlighted_2,premise_highlighted_3,hypothesis_highlighted_3,premise_marked_1,hypothesis_marked_1,premise_marked_2,hypothesis_marked_2,premise_marked_3,hypothesis_marked_3,highlighted_premise_all,highlighted_hypothesis_all
a boy holding onto the wall of an old brick house's raised foundation.,a girl is leaning against the wall,2,"a boy is not a girl,holding onto is not leaning against",A girl is not a boy.,"If a boy is holding onto something, then it is not possible for him to be be a girl leaning against something.",,,,,,,a *boy* *holding* *onto* the wall of an old brick house's raised foundation.,a *girl* is *leaning* *against* the wall,a *boy* holding onto the wall of an old brick house's raised foundation.,a *girl* is leaning against the wall,a *boy* *holding* *onto* the wall of an old brick house's raised foundation.,a *girl* *is* *leaning* *against* the wall,"holding,onto,boy","girl,is,against,leaning"
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies of themselves.,0,A man and woman are taking a picture of themselves means taking selfies of themselves.,Selfies is a rephrasing of the earlier description regarding taking a picture of themselves.,"""Taking a picture of yourself"" is a rephrasing of ""taking a selfie"".",,,,,,, A man and woman are *taking* a *picture* of *themselves* while a woman in a scarf walks by them., A *man* and *woman* *take* *selfies* of *themselves.*, A *man* and *woman* are taking a *picture* of *themselves* while a woman in a scarf walks by them., A *man* and *woman* take *selfies* of themselves., A man and woman are *taking* *a* *picture* *of* *themselves* while a woman in a scarf walks by them., A man and woman take *selfies* of themselves.,"woman,picture,taking,themselves,a,man,of","woman,selfies,themselves,take,man"
An older man leans against a pedestal outside of an ornate building.,A young man is jogging,2,"A young man is different from an old man, also while the young man is jogging the older man leans against a pedestal.",There is either an young or older man.,The man can either be young or old.,,,,,,,An *older* *man* *leans* *against* *a* *pedestal* outside of an ornate building.,A *young* *man* is *jogging*,An *older* man leans against a pedestal outside of an ornate building.,A *young* man is jogging,An *older* man leans against a pedestal outside of an ornate building.,A *young* man is jogging,"against,older,a,pedestal,leans,man","jogging,young,man"
"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","A woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.",2,"There can be only one person, a man or a woman.",There can be a man or woman.,The subject cannot be a man and a woman simultaneously.,,,,,,," A *man* in a black shirt, in a commercial kitchen, holding up meat he took out of a bag."," A *woman* in a black shirt, in a commercial kitchen, holding up meat he took out of a bag."," A *man* in a black shirt, in a commercial kitchen, holding up meat he took out of a bag."," A *woman* in a black shirt, in a commercial kitchen, holding up meat he took out of a bag."," A *man* in a black shirt, in a commercial kitchen, holding up meat he took out of a bag."," A *woman* in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.",man,woman
"A woman, in red and white, and wearing glasses, sits in a room with other people.",A man is fixing his car.,2,"A woman and a man are different genders, and sitting in a room and fixing a car are different activities.",The first sentence is about a woman and the second sentence is about a man.,A woman is different from a man.,,,,,,," A *woman,* in red and white, and wearing glasses, *sits* *in* a *room* with other people.",A *man* is *fixing* his *car.*," A *woman,* in red and white, and wearing glasses, sits in a room with other people.",A *man* is fixing his car.," A *woman,* in red and white, and wearing glasses, sits in a room with other people.",A *man* is fixing his car.,"room,sits,in,woman","car,fixing,man"
These are young adults who seem to be working together to protect the plants surrounding the white pole.,The adults are old,2,The adults cannot be old and young simultaneously,Answer: Either the adult is old or young.,old adults are not young adults,,,,,,,These are *young* adults who seem to be working together to protect the plants surrounding the white pole.,The adults are *old*,These are *young* adults who seem to be working together to protect the plants surrounding the white pole.,The adults are *old*,These are *young* *adults* who seem to be working together to protect the plants surrounding the white pole.,The *adults* are *old*,"young,adults","old,adults"
A boy hits a tennis ball on a court.,A girl is hitting the ball.,2,a boy is not the same as a girl,Either a boy or a girl is hitting the ball.,It is either a boy or a girl who is hitting the ball.,,,,,,,A *boy* hits a tennis ball on a court.,A *girl* is hitting the ball.,A *boy* hits a tennis ball on a court.,A *girl* is hitting the ball.,A *boy* *hits* a tennis *ball* on a court.,A *girl* is *hitting* *the* *ball.*,"hits,ball,boy","girl,the,hitting,ball"
A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A woman is flying crosscountry.,2,A man is playing the saxophone or a woman is flying cross-country.,A person is either a man or woman while playing a saxophone in the street does not take place while flying crosscountry.,"A person cannot be a man and woman at the same time. If a person is flying crosscountry, then the person cannot be playing the saxophone in the street with other people sitting on the curb.",,,,,,,A *man* is *playing* the saxophone in the street and some people are sitting on the curb next to the street by him.,A *woman* is *flying* crosscountry.,A *man* is *playing* the *saxophone* *in* *the* *street* and some people are sitting on the curb next to the street by him.,A *woman* is *flying* *crosscountry.*,A *man* is *playing* *the* *saxophone* *in* *the* *street* and some *people* are *sitting* on the *curb* *next* *to* *the* *street* by him.,A *woman* is *flying* *crosscountry.*,"saxophone,sitting,in,to,playing,people,street,curb,the,man,next","flying,crosscountry,woman"
"Two formally dressed, bald older women",Two long-haired young women.,2,The women cannot be long-haired and bald both.  The women cannot be young and older both.,Older women cannot become young women.,The women cannot be bald if they are long-haired.  The women cannot be older if they are young.,,,,,,," Two formally dressed, *bald* *older* women",Two *long-haired* *young* women.," Two formally dressed, bald *older* women",Two long-haired *young* women.," Two formally dressed, *bald* *older* women",Two *long-haired* *young* women.,"bald,older","long-haired,young"
A blond woman speaks with a group of young dark-haired female students carrying pieces of paper.,A man hits on a woman.,2,The woman's actions are not that of the man.,"If the woman is speaking to a group, she wouldn't be getting hit on while that is happening.",A blond woman is not a man. Someone speaking to a group doesn't mean they are hitting on the women.,,,,,,,A blond *woman* speaks with a group of young dark-haired female students carrying pieces of paper.,A *man* hits on a woman.,A *blond* *woman* *speaks* *with* a *group* of young dark-haired female students carrying pieces of paper.,A man *hits* *on* a woman.,A *blond* *woman* *speaks* with a group of young dark-haired female students carrying pieces of paper.,A *man* *hits* on a woman.,"speaks,woman,blond,with,group","hits,on,man"
"One man, wearing a blue jacket, is kicking another man, wearing a red jacket.",A woman puts on makeup,2,The man can't be a woman.,A person is either a man or a woman and a person puts on makeup does not occur while kicking.,There cannot be two man and one woman at the same time.,,,,,,," One *man,* wearing a blue jacket, is kicking another man, wearing a red jacket.",A *woman* puts on makeup," One *man,* wearing a blue jacket, is *kicking* another man, wearing a red jacket.",A *woman* *puts* *on* *makeup*," One *man,* wearing a blue jacket, is kicking another *man,* wearing a red jacket.",A *woman* puts on makeup,"kicking,man","makeup,puts,on,woman"
A man and woman sitting on the sidewalk.,The man and woman are sitting.,0,The man and woman are sitting on the sidewalk.,"The man and the woman are sitting, regardless of where they are.",Man and woman sitting is a paraphrasing of man and woman are sitting.,,,,,,, A *man* and *woman* sitting on the *sidewalk.*, The man and woman are *sitting.*, A man and woman *sitting* on the sidewalk., The man and woman are *sitting.*, A *man* *and* *woman* *sitting* on the sidewalk., The *man* *and* *woman* *are* *sitting.*,"woman,sitting,and,man,sidewalk","are,woman,sitting,and,man"
A man and woman sitting on the sidewalk.,The man and woman are standing.,2,A man and woman standing is not a a man and woman sitting on the sidewalk.,The man and woman cannot be sitting and standing at the same time.,"The first sentence says they are sitting, and the second sentence says they are standing. They cant be standing and sitting at the same time.",,,,,,,A man and woman *sitting* *on* *the* *sidewalk.*,The man and woman *are* *standing.*,A man and woman *sitting* on the sidewalk.,The man and woman are *standing.*,A man and woman *sitting* on the sidewalk.,The man and woman are *standing.*,"sitting,the,on,sidewalk","standing,are"
Man and woman eating a hotdog.,A man and woman are sharing a hotdog.,0,They are sharing a hotdog because they are eating a hotdog.,Sharing a hotdog implies eating.,a man and woman who are eating a hotdog are sharing it.,,,,,,, Man and woman *eating* a *hotdog.*, A man and woman are *sharing* a *hotdog.*, Man and woman *eating* *a* *hotdog.*, A man and woman are *sharing* *a* *hotdog.*, *Man* and *woman* *eating* *a* *hotdog.*, A *man* and *woman* are *sharing* a *hotdog.*,"woman,Man,eating,hotdog,a","woman,sharing,hotdog,a,man"
A blond woman in a black shirt is standing behind a counter.,The woman is seated on a beach towel.,2,Either the woman is sitting or standing.,The woman cannot both be seated and standing.  One does not usually keep a beach towel behind a counter.,the woman cannot be standing and sitting simultaneously.,,,,,,,A blond woman in a black shirt is *standing* behind a counter.,The woman is *seated* on a beach towel.,A blond woman in a black shirt is *standing* *behind* *a* *counter.*,The woman is *seated* on a *beach* *towel.*,A blond woman in a black shirt is *standing* behind a counter.,The woman is *seated* on a beach towel.,"counter,a,standing,behind","towel,seated,beach"
"A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.",The man in white and black is leaping.,0,Person dressed in white and black is a man in white and black.,An individual is in white and black,The man is leaping in a field.,,,,,,," A *person* *dressed* *in* *white* *and* *black* winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.", The *man* *in* *white* *and* *black* is leaping.," A person dressed in *white* and *black* winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.", The man in *white* and *black* is leaping.," A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered *field* to another, where a female dressed in black coat and pants awaits.", The man in white and black is *leaping.*,"white,in,dressed,black,and,person,field","white,in,leaping,black,and,man"
Blond woman overlooking Seattle Space Needle scene.,A man enjoying the view of the golden gate bridge.,2,"The person cannot simultaneously be a woman and a man, and the person cannot be both in Seattle and also in San Francisco (where the Golden Gate Bridge is) at the same time",A man is not a woman.  The golden gate bridge is not the Seattle Space Needle.,"A woman is doing it, not a man. You can't be at the Space Needle and Golden Gate Bridge at the same time.",,,,,,,Blond *woman* overlooking *Seattle* Space Needle scene.,A *man* enjoying the view of the *golden* *gate* *bridge.*,Blond *woman* overlooking *Seattle* *Space* *Needle* scene.,A *man* enjoying the view of the *golden* *gate* *bridge.*,Blond *woman* overlooking Seattle *Space* *Needle* scene.,A *man* enjoying the view of the *golden* *gate* *bridge.*,"Needle,Space,Seattle,woman","bridge,gate,man,golden"
An old man looking over a sculpture.,The man is young,2,The man can’t be old and young.,A man cannot be old and young.,"The man is old, not young.",,,,,,,An *old* *man* looking over a sculpture.,The *man* is *young*,An *old* *man* looking over a sculpture.,The *man* *is* *young*,An *old* man looking over a sculpture.,The man is *young*,"old,man","young,is,man"
Workers standing on a lift.,Workers walk off a lift,2,workers are either standing or walking on a lift,Workers standing on a lift is not the same as to walk off a lift.,The workers can't be on and off a lift.,,,,,,,Workers *standing* on a lift.,Workers *walk* off a lift,Workers standing *on* a lift.,Workers *walk* *off* a lift,Workers standing *on* a lift.,Workers walk *off* a lift,"standing,on","walk,off"
a young boy using a field microscope to identify a field specimen during a field trip.,The young girl looks through the telescope.,2,Boy refers to a male while a girl refers to a female.,It is either a young girl or a young boy.,The person cannot be both a boy and a girl.  They must either use a telescope or a microscope.,,,,,,,a young *boy* using a field microscope to identify a field specimen during a field trip.,The young *girl* looks through the telescope.,a *young* *boy* using a field microscope to identify a field specimen during a field trip.,The *young* *girl* looks through the telescope.,a young *boy* using a field *microscope* to identify a field specimen during a field trip.,The young *girl* looks through the *telescope.*,"microscope,young,boy","girl,young,telescope"
A man with a long white beard is examining a camera and another man with a black shirt is in the background.,A man takes a picture of a woman,2,Man examining a camera with another man does not result in the picture of a woman.,The man can either be examining a camera or taking a picture with it. A woman is not a man.,THE ANOTHER ONE IS EITHER A MAN OR A WOMAN,,,,,,,A man with a long white beard is *examining* *a* *camera* and *another* *man* with a black shirt is in the background.,A man takes a *picture* of a *woman*,A man with a long white beard is *examining* a camera and *another* *man* with a black shirt is in the background.,A man *takes* a picture of a *woman*,A man with a long white beard is examining a camera and another *man* with a black shirt is in the background.,A man takes a picture of a *woman*,"another,camera,examining,a,man","picture,takes,woman"
"A man in a black ball cap, black jacket and pants sitting in front of a building painted white and blue with the words ING and PEOPLE written on it.",The man is standing in front of a building.,2,A man is sitting in front of a building. The man is standing in front of a building.,A person cannot be sitting and standing at the same time.,The man cannot be sitting and standing at the same time.,,,,,,," A man in a black ball cap, black jacket and pants *sitting* in front of a building painted white and blue with the words ING and PEOPLE written on it.",The man is *standing* in front of a building.," A man in a black ball cap, black jacket and pants *sitting* in front of a building painted white and blue with the words ING and PEOPLE written on it.",The man is *standing* in front of a building.," A man in a black ball cap, black jacket and pants *sitting* in front of a building painted white and blue with the words ING and PEOPLE written on it.",The man is *standing* in front of a building.,sitting,standing
An elderly woman is preparing food in the kitchen.,A man cleans the kitchen.,2,It is either a man or a woman.  Preparing food in the kitchen does not necessarily entail cleaning it.,A man is not a woman.  Preparing food is not the same as cleans the kitchen.,woman doesn't mean man,,,,,,,An elderly *woman* is *preparing* *food* in the kitchen.,A *man* *cleans* the kitchen.,An elderly *woman* is *preparing* *food* in the kitchen.,A *man* *cleans* *the* *kitchen.*,An elderly *woman* is preparing food in the kitchen.,A *man* cleans the kitchen.,"food,preparing,woman","kitchen,cleans,the,man"
A smiling girl slides down a purple slide feet first.,A frowning boy is playing soccer.,2,A smiling girl can't be a frowning boy.,Refers to a girl not a boy. can not slide a purple slide and play soccer.,smiling girl doesn't mean frowning boy,,,,,,,A *smiling* *girl* slides down a purple slide feet first.,A *frowning* *boy* is playing soccer.,A smiling *girl* slides down a purple slide feet first.,A frowning *boy* is playing soccer.,A *smiling* *girl* slides down a purple slide feet first.,A *frowning* *boy* is playing soccer.,"girl,smiling","frowning,boy"
A man walking and carrying a notebook.,The woman is reading a book.,2,"There can be either a man or woman, who can be either walking and carrying a book or reading a book.",A man is not a woman.  Carrying a notebook is different than reading a book.,The man cannot be a woman.,,,,,,,A *man* *walking* and *carrying* a *notebook.*,The *woman* is *reading* a book.,A *man* walking and *carrying* a *notebook.*,The *woman* is *reading* a *book.*,A *man* walking and carrying a notebook.,The *woman* is reading a book.,"carrying,walking,man,notebook","reading,book,woman"
An Asian woman enjoys a nice treat,A business man is hurrying to work.,2,A woman is not a man.,A woman is not a man.,"A woman does not change into a man. When you enjoy something you take your time, so she can not be hurrying to work simultaneously.",,,,,,,An Asian *woman* enjoys a nice treat,A business *man* is hurrying to work.,An Asian *woman* enjoys a nice treat,A business *man* is hurrying to work.,An Asian *woman* *enjoys* a nice treat,A business *man* is *hurrying* to work.,"enjoys,woman","hurrying,man"
A man in a mask in the back of a service vehicle.,A woman is showing her head while riding on a horse,2,ITs either a man or a woman. The person is either showing their head or not . They cannot be on a horse and riding a service vehicle at the same time,A man in a mask is not a woman showing her head.  Also the back of a service vehicle is very different then rising a horse.,There can be either a man or a woman.,,,,,,,A *man* in a *mask* in the back of a *service* *vehicle.*,A *woman* is *showing* her *head* while riding on a *horse*,A *man* *in* *a* *mask* *in* the back of a *service* *vehicle.*,A *woman* is *showing* *her* *head* while *riding* on *a* *horse*,A *man* in a mask in the back of a service vehicle.,A *woman* is showing her head while riding on a horse,"in,mask,vehicle,service,a,man","head,woman,showing,riding,her,horse,a"
A horse has fallen down on the green grass and the jockey riding on top is trying his hardest to not fall off.,The jockey is trying not to fall off the horse.,0,The jockey trying not to fall off the horse as the horse fallen.,"The ""jockey is trying not to fall off the horse"" is a rephrase of ""jockey riding on top is trying his hardest to not fall off.""",Jockey is trying his best to not fall,,,,,,, A *horse* has *fallen* down on the green grass and the jockey riding on top is trying his hardest to not fall off., The *jockey* is trying not to fall *off* the *horse.*, A horse has fallen down on the green grass and the *jockey* *riding* *on* *top* *is* *trying* *his* *hardest* *to* *not* *fall* *off.*, The *jockey* *is* *trying* *not* *to* *fall* *off* *the* *horse.*, A horse has fallen down on the green grass and the jockey riding on top is *trying* his *hardest* *to* *not* fall off., The jockey is *trying* *not* *to* fall off the horse.,"fall,hardest,his,not,top,to,is,on,riding,trying,jockey,off,fallen,horse","fall,not,to,is,trying,jockey,off,horse,the"
Three girls are standing and talking to each other.,Three girls are seated,2,One cannot be standing and seated at the same time.,Standing and sitting cannot be done at the same time.,The girls cannot be seated if they are standing.,,,,,,,Three girls are *standing* and talking to each other.,Three girls are *seated*,Three girls are *standing* and talking to each other.,Three girls are *seated*,Three girls are *standing* and talking to each other.,Three girls are *seated*,standing,seated
Man and women standing under a red umbrella.,The two woman stood under the black umbrella.,2,It is unclear what the genders of the two people are(man and woman or two women) and what color umbrella they are standing under (red or black).,"Either a man and woman are standing under a red umbrella, or two women are standing under a black umbrella; both cannot be happening simultaneously given the same subjects.","If there is a man and woman, there cannot be two women.",,,,,,,*Man* *and* *women* standing under a *red* *umbrella.*,The *two* *woman* stood under the *black* *umbrella.*,*Man* and *women* standing under a *red* *umbrella.*,The *two* *woman* stood under the *black* *umbrella.*,*Man* *and* *women* standing under a red umbrella.,The *two* *woman* stood under the black umbrella.,"red,Man,women,and,umbrella","two,umbrella,black,woman"
"A woman in a yellow skirt is dancing with a man in a white shirt, with another couple dancing in the background.",A woman dances with a man next to another couple dancing,0,woman in a yellow skirt  dancing with a man is being rephrased as woman dancing with a man,Two couples are dancing next to one another.  A woman and a man make a couple.,"Sentence one shows that a woman dances with a man. It also indicates that another couple is dancing. The term background would show that the other couple is nearby, so it can be concluded that they are next to the first couple dancing.",,,,,,," A *woman* *in* *a* *yellow* *skirt* *is* *dancing* *with* *a* *man* in a white shirt, with another couple dancing in the background.", A *woman* *dances* *with* *a* *man* next to another couple dancing," A *woman* in a yellow skirt is dancing with a *man* in a white shirt, with *another* *couple* *dancing* in the background.", A *woman* dances with a *man* next to *another* *couple* *dancing*," A *woman* in a yellow skirt *is* *dancing* *with* *a* *man* in a white shirt, with *another* *couple* *dancing* *in* the *background.*", A *woman* *dances* *with* *a* *man* next to *another* *couple* *dancing*,"dancing,woman,another,in,is,couple,yellow,skirt,background,a,with,man","dancing,woman,another,couple,dances,a,with,man"
People sitting in chairs along a tree-lined sidewalk.,People are standing on the pavement,2,People cannot  be sitting and standing at the same time.,People cannot be sitting in chairs if they are standing.,People cannot be sitting and standing simultaneously.,,,,,,,People *sitting* *in* *chairs* along a tree-lined sidewalk.,People are *standing* on the pavement,People *sitting* *in* *chairs* along a tree-lined sidewalk.,People are *standing* on the pavement,People *sitting* in chairs along a tree-lined sidewalk.,People are *standing* on the pavement,"sitting,in,chairs",standing
A man is watching as a woman is reading a piece of paper.,A woman watches as a man reads a paper.,2,A man is not a woman and a woman is not a man.,Either man or the woman is watching.,A man watching woman reading paper is opposite to a woman watching man reading paper.,,,,,,,A *man* is watching as a *woman* is reading a piece of paper.,A *woman* watches as a *man* reads a paper.,A *man* is watching as a woman is reading a piece of paper.,A *woman* watches as a man reads a paper.,*A* man is *watching* as a *woman* is *reading* a piece of *paper.*,A *woman* watches as a man reads a *paper.*,"paper,A,woman,watching,reading,man","paper,man,woman"
A tattooed man posing with a woman carrying a yellow handbag.,A man poses with a woman.,0,Man posing with a woman is a rephrasing of man poses with a woman.,"If a man is tattooed and is posing with a woman carrying a yellow handbag, it implies that the woman did the tattoo.",A man poses with a woman regardless of what they are wearing or look like.,,,,,,, A tattooed *man* *posing* *with* *a* *woman* carrying a yellow handbag., A *man* *poses* *with* *a* *woman.*, A *tattooed* *man* *posing* *with* *a* *woman* *carrying* *a* *yellow* *handbag.*, A *man* *poses* *with* *a* *woman.*, A tattooed *man* *posing* with a *woman* carrying a yellow handbag., A *man* *poses* with a *woman.*,"carrying,woman,posing,tattooed,yellow,handbag,a,with,man","woman,poses,a,with,man"
A baby girl and little boy are standing next to a guitar and a drum.,The girl is near an instrument.,0,The boy and girl are standing next to two instruments: a guitar and a drum.,"If the girl is near a guitar, the girl is near an instrument.",A guitar is an instrument.,,,,,,, A baby *girl* and little *boy* are standing next to a *guitar* and a *drum.*, The *girl* is near an *instrument.*, A baby *girl* and little boy are standing next to a *guitar* and a drum., The girl is near an *instrument.*, A baby girl and little boy are standing next to a *guitar* and a drum., The girl is near an *instrument.*,"girl,guitar,drum,boy","girl,instrument"
A baby girl and little boy are standing next to a guitar and a drum.,The boy is alone in the bathtub on the moon.,2,There is either a baby girl and a little boy who are standing together near a guitar and a drum or there is one boy alone in a bathtub.,A BABY GIRL AND THE LITTLE BOY IS DIFFERENT FROM THE BOY ALONE. LOCATIONS DIFFERENT,Boy cannot be alone and with the girl at the same time.,,,,,,,A *baby* *girl* and *little* *boy* are standing next to a *guitar* and a *drum.*,The *boy* is *alone* in the *bathtub* on the moon.,A *baby* *girl* *and* *little* *boy* are standing next to a guitar and a drum.,The *boy* is *alone* in the bathtub on the moon.,A baby *girl* *and* little *boy* are standing next to a guitar and a drum.,The *boy* is *alone* in the bathtub on the moon.,"little,boy,guitar,and,girl,drum,baby","alone,bathtub,boy"
A long dark-haired man sitting on the grass with a guitar in his lap in front of a blue sky.,A man with short hair dancing outside while playing the flute.,2,"Sitting and dancing are different actions, and a guitar and flute are different instruments.",A long  dark haired and a man with short hair cannot be the same.,"A man cannot have both long hair and short hair at the same time. He cannot be sitting and dancing at the same time. Finally, he cannot play the guitar and flute simultaneously.",,,,,,,A long dark-haired man *sitting* on the grass with a *guitar* in his lap in front of a blue sky.,A man with short hair *dancing* outside while playing the *flute.*,A *long* *dark-haired* man sitting on the grass with a guitar in his lap in front of a blue sky.,A man with *short* *hair* dancing outside while playing the flute.,A *long* *dark-haired* man *sitting* on the grass with a *guitar* in his lap in front of a blue sky.,A man with *short* *hair* *dancing* outside while playing the *flute.*,"sitting,dark-haired,guitar,long","dancing,hair,short,flute"
